ID	Pop.total	Pop.term	Study.total	Study.term	marg	name
GO:0000000	18063	18052	26	26	0.0	"root"
GO:0052547	18063	129	26	1	0.0	"regulation of peptidase activity"
GO:0052548	18063	121	26	1	0.0	"regulation of endopeptidase activity"
GO:0022008	18063	360	26	7	0.0	"neurogenesis"
GO:0022011	18063	1	26	1	0.001135001135001135	"myelination in peripheral nervous system"
GO:0022010	18063	2	26	1	3.37000337000337E-4	"central nervous system myelination"
GO:0019538	18063	2365	26	4	0.0	"protein metabolic process"
GO:0021984	18063	17	26	1	0.0	"adenohypophysis development"
GO:0033036	18063	498	26	2	0.0	"macromolecule localization"
GO:0032535	18063	33	26	2	0.0	"regulation of cellular component size"
GO:0032555	18063	1882	26	1	0.0	"purine ribonucleotide binding"
GO:0032553	18063	1882	26	1	0.0	"ribonucleotide binding"
GO:0010975	18063	23	26	2	0.0	"regulation of neuron projection development"
GO:0035239	18063	156	26	5	0.0	"tube morphogenesis"
GO:0045664	18063	47	26	3	0.0	"regulation of neuron differentiation"
GO:0045666	18063	9	26	1	3.000003000003E-6	"positive regulation of neuron differentiation"
GO:0021983	18063	17	26	1	0.0	"pituitary gland development"
GO:2000026	18063	202	26	7	0.0	"regulation of multicellular organismal development"
GO:2000027	18063	37	26	1	0.0	"regulation of organ morphogenesis"
GO:0021953	18063	60	26	1	0.0	"central nervous system neuron differentiation"
GO:0035257	18063	9	26	1	0.0	"nuclear hormone receptor binding"
GO:0035258	18063	5	26	1	7.5000075000075E-5	"steroid hormone receptor binding"
GO:0032561	18063	476	26	1	0.0	"guanyl ribonucleotide binding"
GO:0033059	18063	25	26	3	0.0	"cellular pigmentation"
GO:0010951	18063	104	26	1	0.0	"negative regulation of endopeptidase activity"
GO:0010941	18063	157	26	1	0.0	"regulation of cell death"
GO:0035270	18063	57	26	1	0.0	"endocrine system development"
GO:0010942	18063	57	26	1	0.0	"positive regulation of cell death"
GO:2000112	18063	1269	26	6	0.0	"regulation of cellular macromolecule biosynthetic process"
GO:0021943	18063	1	26	1	9.27000927000927E-4	"formation of radial glial scaffolds"
GO:2000113	18063	97	26	2	0.0	"negative regulation of cellular macromolecule biosynthetic process"
GO:2000116	18063	26	26	1	0.0	"regulation of cysteine-type endopeptidase activity"
GO:2000117	18063	10	26	1	0.0	"negative regulation of cysteine-type endopeptidase activity"
GO:0032580	18063	24	26	1	0.0	"Golgi cisterna membrane"
GO:0006629	18063	341	26	3	0.0	"lipid metabolic process"
GO:0035272	18063	23	26	2	0.0	"exocrine system development"
GO:0030662	18063	23	26	1	0.0	"coated vesicle membrane"
GO:0010927	18063	86	26	2	0.0	"cellular component assembly involved in morphogenesis"
GO:0045596	18063	50	26	1	0.0	"negative regulation of cell differentiation"
GO:0045597	18063	44	26	1	0.0	"positive regulation of cell differentiation"
